method, meanDic, meanIoU, wFm, Sm, meanEm, mae, maxEm, maxDic, maxIoU, meanSen, maxSen, meanSpe, maxSpe
masks,0.8903,0.8180,0.8576,0.8900,0.9193,0.0529,0.9305,0.9000,0.8321,0.9204,1.0000,0.9415,0.9915,
masks,0.8784,0.8035,0.8430,0.8836,0.9042,0.0679,0.9200,0.8923,0.8216,0.9117,1.0000,0.9358,0.9882,
