method, meanDic, meanIoU, wFm, Sm, meanEm, mae, maxEm, maxDic, maxIoU, meanSen, maxSen, meanSpe, maxSpe
masks,0.9687,0.9420,0.9712,0.9644,0.9839,0.0128,0.9883,0.9737,0.9497,0.9684,1.0000,0.9887,0.9997,
masks,0.9687,0.9420,0.9712,0.9644,0.9839,0.0128,0.9883,0.9737,0.9497,0.9684,1.0000,0.9887,0.9997,
