method, meanDic, meanIoU, wFm, Sm, meanEm, mae, maxEm, maxDic, maxIoU, meanSen, maxSen, meanSpe, maxSpe
masks,0.9678,0.9434,0.9677,0.9673,0.9875,0.0098,0.9910,0.9719,0.9492,0.9710,1.0000,0.9902,0.9970,
masks,0.9678,0.9434,0.9677,0.9673,0.9875,0.0098,0.9910,0.9719,0.9492,0.9710,1.0000,0.9902,0.9970,
