method, meanDic, meanIoU, wFm, Sm, meanEm, mae, maxEm, maxDic, maxIoU, meanSen, maxSen, meanSpe, maxSpe
masks,0.8851,0.8461,0.8483,0.9302,0.9404,0.0124,0.9642,0.9089,0.8706,0.9094,1.0000,0.9637,0.9728,
masks,0.8851,0.8461,0.8483,0.9302,0.9404,0.0124,0.9642,0.9089,0.8706,0.9094,1.0000,0.9637,0.9728,
