method, meanDic, meanIoU, wFm, Sm, meanEm, mae, maxEm, maxDic, maxIoU, meanSen, maxSen, meanSpe, maxSpe
masks,0.8049,0.6976,0.8111,0.8359,0.8875,0.0513,0.9595,0.8913,0.8142,0.7239,1.0000,0.9901,0.9993,
masks,0.8049,0.6976,0.8111,0.8359,0.8875,0.0513,0.9595,0.8913,0.8142,0.7239,1.0000,0.9901,0.9993,
