method, meanDic, meanIoU, wFm, Sm, meanEm, mae, maxEm, maxDic, maxIoU, meanSen, maxSen, meanSpe, maxSpe
masks,0.8032,0.7569,0.7017,0.8845,0.8777,0.0154,0.9691,0.8974,0.8519,0.9277,1.0000,0.9659,0.9781,
masks,0.8032,0.7569,0.7017,0.8845,0.8777,0.0154,0.9691,0.8974,0.8519,0.9277,1.0000,0.9659,0.9781,
