method, meanDic, meanIoU, wFm, Sm, meanEm, mae, maxEm, maxDic, maxIoU, meanSen, maxSen, meanSpe, maxSpe
masks,0.8073,0.7567,0.8088,0.8301,0.8417,0.1269,0.8910,0.8848,0.8195,0.7904,1.0000,0.9832,0.9962,
masks,0.8073,0.7567,0.8088,0.8301,0.8417,0.1269,0.8910,0.8848,0.8195,0.7904,1.0000,0.9832,0.9962,
