method, meanDic, meanIoU, wFm, Sm, meanEm, mae, maxEm, maxDic, maxIoU, meanSen, maxSen, meanSpe, maxSpe
masks,0.8114,0.7117,0.8253,0.8546,0.8712,0.0714,0.9535,0.9107,0.8438,0.7336,1.0000,0.9891,0.9996,
masks,0.8114,0.7117,0.8253,0.8546,0.8712,0.0714,0.9535,0.9107,0.8438,0.7336,1.0000,0.9891,0.9996,
